"ID" "CustomerID" "ReceivedAt" "DeviceReportedTime" "Facility" "Priority" "FromHost" "Message" "NTSeverity" "Importance" "EventSource" "EventUser" "EventCategory" "EventID" "EventBinaryData" "MaxAvailable" "CurrUsage" "MinUsage" "MaxUsage" "InfoUnitID" "SysLogTag" "EventLogType" "GenericFileName" "SystemID" "processid" "checksum"
"43" 49841401 NA "2015-12-09 00:00:29" "2015-12-09 00:00:49" 20 4 "KR-07" " 00:00:49.042 2284 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 1307" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"44" 49841402 NA "2015-12-09 00:00:29" "2015-12-09 00:00:49" 20 4 "KR-07" " 00:00:49.043 2284 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"45" 49841407 NA "2015-12-09 00:00:30" "2015-12-09 00:00:20" 20 4 "sc030" " 00:00:20.881 29669 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"46" 49841409 NA "2015-12-09 00:00:30" "2015-12-09 00:00:21" 20 4 "sc030" " 00:00:21.223 29669 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 27500" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"47" 49841410 NA "2015-12-09 00:00:30" "2015-12-09 00:00:21" 20 4 "sc030" " 00:00:21.224 29669 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 850" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"48" 49841411 NA "2015-12-09 00:00:30" "2015-12-09 00:00:21" 20 4 "sc030" " 00:00:21.224 29669 AUDIT nova.compute.resource_tracker [-] Free VCPUS: 6" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"49" 49841415 NA "2015-12-09 00:00:33" "2015-12-09 00:00:22" 20 4 "ce010" " 00:00:22.861 30600 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"50" 49841416 NA "2015-12-09 00:00:33" "2015-12-09 00:00:23" 20 4 "ce010" " 00:00:23.056 30600 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 23508" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"51" 49841417 NA "2015-12-09 00:00:33" "2015-12-09 00:00:23" 20 4 "ce010" " 00:00:23.056 30600 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 915" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"52" 49841418 NA "2015-12-09 00:00:33" "2015-12-09 00:00:23" 20 4 "ce010" " 00:00:23.056 30600 AUDIT nova.compute.resource_tracker [-] Free VCPUS: 8" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"53" 49841423 NA "2015-12-09 00:00:37" "2015-12-09 00:00:02" 20 4 "KR-03" " 00:00:02.624 4948 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"54" 49841424 NA "2015-12-09 00:00:37" "2015-12-09 00:00:54" 20 4 "sc034" " 00:00:54.003 20004 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
